,z1,z2,z3,z4,z5,z6,z7,z8
CZE,-0.01450216169056826,0.0001935645265245114,0.027878315519207407,-0.03474703878227611,0.037808845294891515,0.056680136808347485,0.02964325765779572,-0.01688925634325891
DEU,0.01738681482608747,0.017678803659725528,0.016603613361435288,-0.0027988088033289843,0.008532400876475983,0.014207728474577706,0.014867320283106885,-0.003219004564788465
DMA,-0.008044839853021742,-0.0024362121723286007,-0.08050831629146442,-0.007914351674218726,-0.048321363601823,-0.05414857111492743,-0.03557394890277157,-0.0161644647196157
DNK,-0.08400368518767307,0.05453089179978337,0.019945810085867398,-0.026979440523897787,0.042666416613878766,-0.010863040299603154,0.04946787974558608,-0.03725685511498767
DOM,0.02335184186288721,0.012233312039255649,0.002156438300001,-0.008037796458053303,0.00931734076424141,-0.0023578762314083773,0.024315889326623742,-0.011036249748389813
DZA,0.04200090979537658,0.01231347068180886,0.0027189882431233204,0.004583902880413823,0.007168555434339828,0.006266571420817757,0.005848310713307544,0.002585515532854283
ECU,0.041582939275741554,0.018325205438193107,0.010377989993606628,0.005875206518076675,0.014488085137177207,0.012235024462972064,0.004026821541220722,0.004977276673628235
EGY,0.015927126403946716,0.0033577736043539108,0.007766275569966072,0.030117736466439154,0.010119190076963215,-0.05779399343585285,0.0013071734510482719,-0.003519681455859573
ERI,0.0526228352444465,0.011797957459438435,0.010931465641320085,0.009893561062914256,0.016620162379174266,0.005142010629493612,0.007313878764872911,0.005700043270469047
ESP,0.01740935775947682,0.023870037624069806,0.005433967278060358,0.005839551925096018,-0.0007051218464375731,0.01710731182027034,0.0025032088585086078,0.0047745681067202185
EST,-0.15850769094816053,0.06624998948364719,-0.013648840101076665,0.17178395280209902,0.007700816487919832,0.12153850558391487,-0.1505802650507484,0.11614206637051776
